	Control	15c	15c	Control	15an	15a	15an	15a
ENSG00000215182.8	340	2277	353	402	2762	818	2427	775
ENSG00000130600.13	1004	1053	177	1777	1302	895	1039	806
ENSG00000050165.15	366	198	76	383	477	355	94	251
ENSG00000168003.14	1105	5442	1452	1498	10455	3539	4232	2096
ENSG00000134955.9	83	598	101	60	831	233	419	216
ENSG00000151715.5	2	269	29	4	482	70	199	17
ENSG00000111665.9	384	261	111	451	520	356	200	344
ENSG00000135451.10	425	427	138	839	749	651	269	427
ENSG00000185432.11	120	58	3	185	109	93	18	37
ENSG00000166881.7	395	391	57	585	529	426	306	404
ENSG00000049130.11	389	288	110	548	688	601	145	431
ENSG00000120833.11	274	209	24	293	174	177	78	116
ENSG00000139354.8	350	318	54	398	405	326	164	201
ENSG00000280208.1	24	518	112	69	952	168	492	215
ENSG00000126787.10	284	186	49	300	304	322	134	124
ENSG00000156381.6	348	1509	626	417	2673	1202	1074	727
ENSG00000137804.10	363	370	54	640	697	485	175	393
ENSG00000137860.9	142	60	3	244	38	46	13	57
ENSG00000166825.11	335	1670	369	475	2512	1173	999	755
ENSG00000166851.12	665	457	186	807	963	750	384	523
ENSG00000174943.7	205	1061	245	259	1087	517	777	458
ENSG00000171241.6	400	136	75	398	437	542	143	285
ENSG00000103089.6	83	1268	250	245	1220	449	886	450
ENSG00000261253.2	0	31	16	0	103	2	17	20
ENSG00000186185.11	574	559	91	721	924	944	249	544
ENSG00000182481.6	713	585	155	695	1088	697	266	470
ENSG00000089685.12	895	450	251	1193	1258	1365	489	554
ENSG00000176890.13	212	171	47	317	271	372	124	192
ENSG00000276043.2	818	766	170	1035	964	1004	254	548
ENSG00000130513.6	341	1776	449	386	2339	966	1620	718
ENSG00000089639.8	181	932	227	224	972	554	608	385
ENSG00000105499.11	156	902	170	242	1346	580	742	406
ENSG00000125780.11	0	58	10	0	77	23	22	24
ENSG00000089057.12	351	1825	350	243	3038	994	1521	618
ENSG00000188559.11	182	1211	232	344	1984	837	1085	510
ENSG00000101003.9	547	455	128	578	743	691	208	285
ENSG00000088325.13	1443	1121	340	1707	1809	1525	768	1105
ENSG00000175063.14	501	411	118	586	635	657	346	351
ENSG00000101210.8	160	962	307	329	1909	738	654	418
ENSG00000275993.2	58	767	74	126	666	308	476	244
ENSG00000160181.6	12	311	38	20	192	120	211	63
ENSG00000185022.9	273	1568	231	290	1824	520	1407	549
ENSG00000159307.16	419	3028	647	772	5806	1426	2858	1522
ENSG00000101842.11	332	74	15	306	210	165	12	145
ENSG00000091513.12	38	0	0	112	26	4	20	0
ENSG00000038427.13	561	684	146	988	888	498	689	382
ENSG00000156510.12	378	1454	466	393	2252	1526	726	878
ENSG00000100422.11	169	764	225	202	1277	899	336	437
